iter	RMSE
0	2.136472541
1	2.08236507
2	2.031889944
3	1.983513544
4	1.938154607
5	1.897766358
6	1.860365681
7	1.823265151
8	1.788845474
9	1.756772821
10	1.727085002
11	1.699300019
12	1.674523313
13	1.651595186
14	1.628254515
15	1.608333652
16	1.589839528
17	1.571143346
18	1.553971313
19	1.537726729
20	1.522147693
21	1.508151668
22	1.495795751
23	1.482219611
24	1.470361369
25	1.46172868
26	1.452614178
27	1.443588927
28	1.435247333
29	1.427025508
30	1.420082768
31	1.411680153
32	1.404774866
33	1.3978399
34	1.391294627
35	1.38540675
36	1.379693272
37	1.374214001
38	1.369425261
39	1.365071235
40	1.360265364
41	1.355612566
42	1.351564948
43	1.34735563
44	1.343406492
45	1.340099891
46	1.336797012
47	1.333474134
48	1.330388428
49	1.327073909
50	1.323693612
51	1.320826095
52	1.318510282
53	1.315743858
54	1.312755345
55	1.309793028
56	1.307045769
57	1.304891078
58	1.302758452
59	1.299958463
60	1.297676714
61	1.295474134
62	1.293222343
63	1.291028925
64	1.289140045
65	1.287139762
66	1.285567941
67	1.283259415
68	1.281331816
69	1.280151679
70	1.278541671
71	1.277406884
72	1.275771668
73	1.274448569
74	1.273054805
75	1.272281415
76	1.270387967
77	1.268746782
78	1.267370283
79	1.266043159
80	1.264477819
81	1.263307739
82	1.261938036
83	1.260461299
84	1.258898868
85	1.257560633
86	1.256521496
87	1.254847324
88	1.253587569
89	1.252667271
90	1.251708435
91	1.250830726
92	1.249312248
93	1.248110796
94	1.247342869
95	1.246578847
96	1.245831789
97	1.24476294
98	1.243552686
99	1.242740077
100	1.241647836
101	1.240296073
102	1.239329235
103	1.238133659
104	1.237044312
105	1.236440097
106	1.235425107
107	1.234434667
108	1.233537246
109	1.232511407
110	1.23186406
111	1.231110685
112	1.230299148
113	1.229227278
114	1.228323485
115	1.227796322
116	1.226548153
117	1.225841438
118	1.22511873
119	1.224163623
120	1.223277674
121	1.222401601
122	1.221530334
123	1.220756034
124	1.219830048
125	1.21869269
126	1.218106576
127	1.217484723
128	1.217086165
129	1.216516629
130	1.215548381
131	1.215022087
132	1.214380944
133	1.213701993
134	1.212582971
135	1.212001463
136	1.211281667
137	1.210625637
138	1.20999033
139	1.209315044
140	1.208457209
141	1.207912775
142	1.207217706
143	1.206475907
144	1.205617178
145	1.20493901
146	1.20454304
147	1.203728169
148	1.203205188
149	1.202871473
150	1.202285676
151	1.201796584
152	1.201263937
153	1.200792279
154	1.199963474
155	1.199214158
156	1.198268846
157	1.197164476
158	1.196127635
159	1.19550974
160	1.19509915
161	1.194573274
162	1.19381805
163	1.193042969
164	1.192142283
165	1.191761082
166	1.191059697
167	1.19024459
168	1.189764411
169	1.188985806
170	1.188580999
171	1.188264748
172	1.187762333
173	1.186900605
174	1.186391984
175	1.185897214
176	1.185157709
177	1.184681752
178	1.183296749
179	1.182535688
180	1.181253335
181	1.180464192
182	1.179788434
183	1.179531431
184	1.178512988
185	1.177952973
186	1.177026693
187	1.176503747
188	1.175884001
189	1.175574567
190	1.174961548
191	1.174231748
192	1.173111973
193	1.172695049
194	1.171727869
195	1.171174744
196	1.170782003
197	1.170290045
198	1.169390258
199	1.168592064
