iter	Passed	Remaining
0	167	167559
1	182	91177
2	190	63455
3	196	48860
4	201	40080
5	206	34279
6	211	30028
7	217	26924
8	222	24467
9	227	22504
10	232	20913
11	238	19629
12	244	18559
13	250	17635
14	256	16825
15	262	16131
16	268	15506
17	273	14946
18	280	14478
19	286	14059
20	293	13695
21	300	13347
22	307	13064
23	313	12751
24	319	12451
25	327	12281
26	334	12044
27	339	11776
28	346	11601
29	352	11385
30	358	11197
31	363	11009
32	370	10859
33	376	10687
34	381	10521
35	387	10367
36	396	10318
37	402	10193
38	409	10097
39	415	9974
40	421	9851
41	426	9730
42	431	9608
43	437	9499
44	442	9385
45	448	9305
46	453	9201
47	458	9101
48	463	9000
49	469	8911
50	475	8848
51	480	8763
52	486	8683
53	490	8596
54	495	8518
55	502	8463
56	507	8389
57	511	8315
58	516	8237
59	522	8182
60	529	8153
61	537	8126
62	544	8091
63	551	8063
64	557	8026
65	564	7988
66	571	7962
67	578	7934
68	587	7928
69	598	7951
70	607	7944
71	617	7959
72	626	7959
73	638	7988
74	697	8597
75	785	9547
76	852	10220
77	907	10727
78	962	11215
79	1028	11832
80	1085	12314
81	1156	12946
82	1218	13467
83	1272	13879
84	1334	14368
85	1393	14809
86	1442	15134
87	1495	15498
88	1552	15887
89	1609	16272
90	1670	16682
91	1708	16858
92	1714	16717
93	1719	16577
94	1728	16470
95	1737	16360
96	1743	16234
97	1750	16114
98	1757	15990
99	1764	15877
100	1773	15786
101	1784	15710
102	1795	15639
103	1807	15568
104	1817	15491
105	1827	15414
106	1838	15345
107	1850	15283
108	1862	15222
109	1875	15173
110	1890	15142
111	1904	15097
112	1919	15065
113	1934	15036
114	1947	14986
115	1958	14927
116	1970	14867
117	1981	14807
118	1991	14747
119	2002	14686
120	2012	14621
121	2022	14555
122	2031	14484
123	2040	14414
124	2050	14354
125	2060	14291
126	2069	14225
127	2079	14169
128	2088	14104
129	2097	14036
130	2107	13983
131	2116	13916
132	2125	13853
133	2135	13798
134	2146	13755
135	2156	13703
136	2167	13654
137	2176	13597
138	2184	13534
139	2193	13476
140	2205	13434
141	2214	13379
142	2223	13324
143	2234	13279
144	2243	13231
145	2254	13185
146	2264	13141
147	2274	13093
148	2283	13043
149	2292	12990
150	2301	12941
151	2311	12897
152	2320	12848
153	2330	12800
154	2340	12761
155	2350	12715
156	2358	12665
157	2368	12621
158	2376	12572
159	2385	12521
160	2394	12475
161	2402	12430
162	2411	12384
163	2419	12333
164	2427	12284
165	2435	12234
166	2443	12186
167	2450	12138
168	2458	12088
169	2466	12043
170	2474	11997
171	2482	11950
172	2490	11905
173	2498	11862
174	2508	11823
175	2515	11779
176	2523	11734
177	2531	11690
178	2539	11647
179	2547	11604
180	2556	11565
181	2564	11526
182	2572	11484
183	2580	11443
184	2588	11403
185	2597	11366
186	2604	11324
187	2613	11286
188	2621	11247
189	2629	11209
190	2637	11169
191	2644	11130
192	2652	11092
193	2660	11052
194	2668	11015
195	2676	10977
196	2683	10937
197	2691	10901
198	2698	10862
199	2706	10824
200	2713	10787
201	2721	10749
202	2727	10709
203	2734	10670
204	2742	10634
205	2748	10595
206	2755	10557
207	2762	10519
208	2769	10482
209	2776	10444
210	2783	10407
211	2795	10390
212	2801	10351
213	2808	10314
214	2816	10284
215	2823	10248
216	2830	10213
217	2837	10179
218	2844	10143
219	2851	10108
220	2857	10073
221	2866	10045
222	2873	10011
223	2880	9978
224	2886	9942
225	2893	9909
226	2900	9876
227	2907	9844
228	2913	9809
229	2920	9777
230	2929	9751
231	2935	9718
232	2943	9688
233	2950	9658
234	2957	9628
235	2964	9598
236	2972	9568
237	2978	9537
238	2986	9510
239	2993	9478
