iter	RMSE
0	2.107647949
1	2.029047706
2	1.959727364
3	1.895896078
4	1.841060896
5	1.791580442
6	1.746863787
7	1.709857862
8	1.67781321
9	1.646890649
10	1.617259545
11	1.59072263
12	1.566849148
13	1.544656755
14	1.526562209
15	1.510020555
16	1.494348496
17	1.481378966
18	1.470106929
19	1.459449232
20	1.449219605
21	1.437723067
22	1.427828465
23	1.41907909
24	1.412758307
25	1.405934909
26	1.398431254
27	1.39290229
28	1.386855153
29	1.381939738
30	1.376833347
31	1.372643699
32	1.367355012
33	1.363066315
34	1.358988093
35	1.355922284
36	1.352665244
37	1.349335419
38	1.346894609
39	1.343075513
40	1.339524477
41	1.336485157
42	1.33403256
43	1.331350385
44	1.328281024
45	1.326261915
46	1.323586248
47	1.321861217
48	1.320148423
49	1.317694501
50	1.315500317
51	1.31335315
52	1.311725864
53	1.309587437
54	1.308279507
55	1.306497562
56	1.305018551
57	1.302814898
58	1.301160242
59	1.299643935
60	1.297897631
61	1.296167631
62	1.29454352
63	1.293127234
64	1.291850168
65	1.290529324
66	1.289195045
67	1.288089977
68	1.286634885
69	1.285614695
70	1.284133148
71	1.28266904
72	1.281426617
73	1.280479916
74	1.279032174
75	1.277636474
76	1.276979542
77	1.275637697
78	1.274396664
79	1.273736423
80	1.272067578
81	1.271122139
82	1.269961133
83	1.268831463
84	1.268049154
85	1.267304737
86	1.266721889
87	1.266203044
88	1.265587366
89	1.264626475
90	1.26348004
91	1.26213314
92	1.260731077
93	1.259994118
94	1.25878346
95	1.257998789
96	1.257239889
97	1.256228475
98	1.255518884
99	1.254514547
100	1.253563465
101	1.252415802
102	1.25155557
103	1.250723653
104	1.249995195
105	1.249254756
106	1.248524259
107	1.247523002
108	1.246831596
109	1.24592274
110	1.245263814
111	1.244338901
112	1.243366724
113	1.242835551
114	1.242116518
115	1.241282018
116	1.240762018
117	1.239717257
118	1.239396719
119	1.238706569
120	1.237932518
121	1.237277648
122	1.236777756
123	1.236388672
124	1.235279277
125	1.23456591
126	1.233490003
127	1.23278312
128	1.2321995
129	1.231584894
130	1.230882576
131	1.229425103
132	1.228304052
133	1.227462078
134	1.226847086
135	1.226017727
136	1.225308326
137	1.224681475
138	1.22405976
139	1.223175902
140	1.222277244
141	1.221670165
142	1.221231692
143	1.220560757
144	1.219678629
145	1.219139235
146	1.218256971
147	1.217879425
148	1.217102297
149	1.216469192
150	1.215590837
151	1.214975072
152	1.214492674
153	1.213801184
154	1.213123819
155	1.21240116
156	1.211881781
157	1.211119062
158	1.21053892
159	1.209562695
160	1.208897029
161	1.208415099
162	1.207859989
163	1.207117285
164	1.206520846
165	1.205765025
166	1.205161487
167	1.20450907
168	1.204092662
169	1.203591824
170	1.203041766
171	1.202484607
172	1.201796103
173	1.201347793
174	1.200790606
175	1.200321782
176	1.199863188
177	1.199287335
178	1.198686937
179	1.198049887
180	1.197443557
181	1.197061995
182	1.196202805
183	1.195598321
184	1.195105603
185	1.194323367
186	1.193871716
187	1.193315597
188	1.192862513
189	1.192521614
190	1.191931611
191	1.191404359
192	1.190918171
193	1.189851179
194	1.189414701
195	1.188373656
196	1.187764272
197	1.18732818
198	1.186923894
199	1.186494172
200	1.185592878
201	1.184956614
202	1.184343766
203	1.183835737
204	1.183330841
205	1.182896991
206	1.18248587
207	1.182011782
208	1.181651448
209	1.180926471
210	1.180290403
211	1.179875146
212	1.179344143
213	1.178829503
214	1.178181962
215	1.177704031
216	1.177382731
217	1.176783013
218	1.176348446
219	1.175713047
220	1.175406005
221	1.174696262
222	1.174132523
223	1.173647846
224	1.17311366
225	1.172469832
226	1.172053851
227	1.171382468
228	1.170951734
229	1.170313649
230	1.16989566
231	1.169467571
232	1.169032995
233	1.16844158
234	1.167958362
235	1.167474551
236	1.166928562
237	1.166654844
238	1.166156986
239	1.165854939
240	1.165477379
241	1.165074836
242	1.16465093
243	1.16437943
244	1.163742891
245	1.163317327
246	1.162732634
247	1.162423458
248	1.161872954
249	1.161428175
250	1.160965896
251	1.160587333
252	1.160023616
253	1.159553719
254	1.159449672
255	1.159073506
256	1.158646457
257	1.158382231
258	1.158033017
259	1.15720735
260	1.156822082
261	1.156270534
262	1.155696298
263	1.155311441
264	1.154967822
265	1.154471421
266	1.153743548
267	1.153410305
268	1.152541531
269	1.152185551
270	1.151597004
271	1.151189674
272	1.150809386
273	1.150272881
274	1.149794991
275	1.149455919
276	1.149072756
277	1.14864464
278	1.148287383
279	1.148114444
280	1.147636532
281	1.146950413
282	1.14668545
283	1.14629693
284	1.145954648
285	1.145585912
286	1.145351017
287	1.14494745
288	1.144723904
289	1.144285984
290	1.143688615
291	1.143340629
292	1.14293415
293	1.142413531
294	1.141866435
295	1.141124681
296	1.140812266
297	1.140467849
298	1.140116917
299	1.13973927
300	1.139175397
301	1.138825376
302	1.138510546
303	1.138282969
304	1.137710669
305	1.137253569
306	1.137043277
307	1.136708424
308	1.136486858
309	1.136052031
310	1.135607429
311	1.135097285
312	1.134648103
313	1.134315732
314	1.133844483
315	1.133277446
316	1.132833514
317	1.132579616
318	1.132246299
319	1.131957048
320	1.131831176
321	1.131545551
322	1.131276752
323	1.130665082
324	1.130205533
325	1.129753555
326	1.129284746
327	1.128687896
328	1.128214327
329	1.127803658
330	1.127600653
331	1.12727274
332	1.126927109
333	1.126824966
334	1.126165019
335	1.12580266
336	1.125459441
337	1.125074757
338	1.124697939
339	1.124254244
340	1.123784967
341	1.123165586
342	1.122886777
343	1.122436362
344	1.122072931
345	1.12157401
346	1.121427615
347	1.121183507
348	1.120871882
349	1.12069751
350	1.120490326
351	1.120222026
352	1.119913284
353	1.119599991
354	1.119079812
355	1.118519182
356	1.118223071
357	1.117698983
358	1.117395451
359	1.117049201
360	1.116980293
361	1.116477878
362	1.116221763
363	1.115875766
364	1.115468173
365	1.115228797
366	1.114663035
367	1.114115517
368	1.113879863
369	1.113684727
370	1.113451986
371	1.112962156
372	1.112652553
373	1.112428173
374	1.11221629
375	1.111917044
376	1.111544269
